ApsimVersion = 7.10 r7fc53e8d02bde502a9365b74ca5d599e486e2c5e
Title = j2ki05
           Date DaysAfterSowing          Stage        Biomass        GreenWt      BiomassWt    RootGreenWt    LeafGreenWt    StemGreenWt  RachisGreenWt   GrainGreenWt      biomass_n     RootGreenN     LeafGreenN     StemGreenN   RachisGreenN    GrainGreenN GrainGreenNConc        GrainNo      GrainSize         LeafNo            LAI           SLAI            ESW            NO3            SLN        WaterSD           sw()             HI           TPLA           SPLA         Height
   (dd/mm/yyyy)          (days)             ()        (kg/ha)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             (%)   (grains/m^2)  (g/1000grain)       (leaves)        (m2/m2)        (m2/m2)             ()        (kg/ha)      (g(N)/m2)             ()        (mm/mm)             ()           (m2)           (m2)           (mm)
     05/04/1988               0          0.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000          0.000           30.7          0.000          1.000          2.031          0.000          0.000          0.000          0.000
     06/04/1988               1          1.999            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.506           30.7          0.000          1.000          2.041          0.000          0.000          0.000          0.000
     06/04/1988               1          1.999            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.506           30.7          0.000          1.000          2.041          0.000          0.000          0.000          0.000
     07/04/1988               2          2.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.097           30.5          0.000          1.000          2.035          0.000          0.000          0.000          0.000
     07/04/1988               2          2.000            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000         96.097           30.5          0.000          1.000          2.035          0.000          0.000          0.000          0.000
     08/04/1988               3          2.678            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        109.050           30.2          0.000          1.000          2.160          0.000          0.000          0.000          0.000
     08/04/1988               3          2.678            0.0           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.00           0.000          0.000          0.000          0.000          0.000          0.000        109.050           30.2          0.000          1.000          2.160          0.000          0.000          0.000          0.000
     09/04/1988               4          3.000            1.6           0.24           0.16           0.08           0.08           0.08           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.003          0.000        105.613           29.9          1.700          1.000          2.124          0.000          3.800          0.000          0.000
     09/04/1988               4          3.000            1.6           0.24           0.16           0.08           0.08           0.08           0.00           0.00           0.01           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.500          0.003          0.000        105.613           29.9          1.700          1.000          2.124          0.000          3.800          0.000          0.000
     10/04/1988               5          3.339            2.0           0.32           0.20           0.13           0.12           0.08           0.00           0.00           0.02           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.738          0.011          0.001        104.566           29.5          1.250          1.000          2.116          0.000         13.861          0.667          0.250
     10/04/1988               5          3.339            2.0           0.32           0.20           0.13           0.12           0.08           0.00           0.00           0.02           0.00           0.01           0.00           0.00           0.00           0.000          0.000          0.000          0.738          0.011          0.001        104.566           29.5          1.250          1.000          2.116          0.000         13.861          0.667          0.250
     11/04/1988               6          3.660            3.6           0.64           0.36           0.28           0.27           0.08           0.00           0.00           0.03           0.00           0.03           0.00           0.00           0.00           0.000          0.000          0.000          0.984          0.021          0.001        104.293           29.1          1.209          1.000          2.116          0.000         26.856          0.667          0.251
     11/04/1988               6          3.660            3.6           0.64           0.36           0.28           0.27           0.08           0.00           0.00           0.03           0.00           0.03           0.00           0.00           0.00           0.000          0.000          0.000          0.984          0.021          0.001        104.293           29.1          1.209          1.000          2.116          0.000         26.856          0.667          0.251
     12/04/1988               7          3.952            6.6           1.23           0.66           0.58           0.57           0.09           0.00           0.00           0.04           0.00           0.04           0.00           0.00           0.00           0.000          0.000          0.000          1.231          0.033          0.001        104.002           28.7          1.261          1.000          2.115          0.000         42.159          0.667          0.256
     12/04/1988               7          3.952            6.6           1.23           0.66           0.58           0.57           0.09           0.00           0.00           0.04           0.00           0.04           0.00           0.00           0.00           0.000          0.000          0.000          1.231          0.033          0.001        104.002           28.7          1.261          1.000          2.115          0.000         42.159          0.667          0.256
     13/04/1988               8          4.000           11.3           2.18           1.13           1.05           1.03           0.10           0.00           0.00           0.06           0.01           0.06           0.00           0.00           0.00           0.000          0.000          0.000          1.455          0.046          0.001        103.689           28.3          1.328          1.000          2.114          0.000         58.438          0.667          0.272
     13/04/1988               8          4.000           11.3           2.18           1.13           1.05           1.03           0.10           0.00           0.00           0.06           0.01           0.06           0.00           0.00           0.00           0.000          0.000          0.000          1.455          0.046          0.001        103.689           28.3          1.328          1.000          2.114          0.000         58.438          0.667          0.272
     14/04/1988               9          4.301           18.1           3.52           1.81           1.72           1.67           0.12           0.00           0.00           0.09           0.01           0.09           0.00           0.00           0.00           0.000          0.000          0.000          1.710          0.063          0.001        103.348           27.9          1.362          1.000          2.112          0.000         79.681          0.720          0.312
     14/04/1988               9          4.301           18.1           3.52           1.81           1.72           1.67           0.12           0.00           0.00           0.09           0.01           0.09           0.00           0.00           0.00           0.000          0.000          0.000          1.710          0.063          0.001        103.348           27.9          1.362          1.000          2.112          0.000         79.681          0.720          0.312
